category,num_of_apps,avg_rating,avg_reviews,,,,,,,
EVENTS,64,4.5,2516,,,,,,,
PERSONALIZATION,376,4.25,142387,,,,,,,
FAMILY,1808,4.25,64474,,,,,,,
COMICS,56,4.25,41826,,,,,,,
HOUSE_AND_HOME,73,4.25,26435,,,,,,,
ART_AND_DESIGN,60,4.25,22887,,,,,,,
PARENTING,60,4.25,15972,,,,,,,
AUTO_AND_VEHICLES,85,4.25,13690,,,,,,,
LIBRARIES_AND_DEMO,84,4.25,10796,,,,,,,
BEAUTY,53,4.25,7476,,,,,,,
COMMUNICATION,304,4,670310,,,,,,,
VIDEO_PLAYERS,164,4,403312,,,,,,,
TOOLS,827,4,273467,,,,,,,
PHOTOGRAPHY,618,4,167447,,,,,,,
SHOPPING,320,4,141564,,,,,,,
PRODUCTIVITY,540,4,101206,,,,,,,
WEATHER,148,4,89020,,,,,,,
HEALTH_AND_FITNESS,462,4,48681,,,,,,,
MUSIC,138,4,28842,,,,,,,
DATING,170,4,21316,,,,,,,
BUSINESS,472,4,18922,,,,,,,
MEDICAL,414,4,3362,,,,,,,
SOCIAL,398,3.75,598163,,,,,,,
SPORTS,431,3.75,135127,,,,,,,
GAME,4684,3.75,118969,,,,,,,
TRAVEL_AND_LOCAL,293,3.75,99930,,,,,,,
MAPS_AND_NAVIGATION,175,3.75,75714,,,,,,,
NEWS_AND_MAGAZINES,323,3.75,61023,,,,,,,
FOOD_AND_DRINK,166,3.75,36015,,,,,,,
FINANCE,443,3.75,28993,,,,,,,
LIFESTYLE,507,3.75,21969,,,,,,,
BOOKS_AND_REFERENCE,395,3.5,43013,,,,,,,
EDUCATION,540,3.5,12011,,,,,,,
ENTERTAINMENT,586,3.25,28579,,,,,,,
UTILITIES,248,3.25,10289,,,,,,,
CATALOGS,9,1.75,1780,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
size_range,count,avg_rating,,,,,,,,
Very Small,1,4.5,,,,,,,,
Varies/Unknown,1167,4.25,,,,,,,,
Small,48,4,,,,,,,,
Small-Medium,277,4,,,,,,,,
Medium,3733,4,,,,,,,,
Large,3220,3.75,,,,,,,,
Very Large,266,3.75,,,,,,,,
Large-Medium,7814,3.75,,,,,,,,
,,,,,,,,,,
"NOTE: The ""Very Small"" size range is omitted due to the count only being 1",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
content_rating,avg_rating,review_count,tot_apps,review_per_app,,,,,,
Everyone 10+,4.25,188755,288,655,,,,,,
Teen,4.25,280509,977,287,,,,,,
Everyone,4.25,123248,7677,16,,,,,,
9+,3.75,125633,980,128,,,,,,
12+,3.5,118645,1148,103,,,,,,
4+,3.5,68057,4415,15,,,,,,
17+,3.25,86172,1004,86,,,,,,
,,,,,,,,,,
NOTE: The top 3 are ESRB ratings while the rest of the App Store's rating system,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
name,rounded_rating,avg_review_count,price,,,App Lifespan (Months),App Lifespan (Years),Gross Income,Marketing Cost,Total Profit
PewDiePie's Tuber Simulator,5,1590317,$0.00 ,,,132,11,"$660,000.00","$132,000.00","$528,000.00"
Geometry Dash Lite,4.75,6552010,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
Zombie Catchers,4.75,5959222,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
Toy Blast,4.75,3854654,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
Domino's Pizza USA,4.75,1291559,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
"Egg, Inc.",4.75,659234,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
Cytus,4.75,549657,$1.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
Fernanfloo,4.75,529481,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
ASOS,4.75,373346,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
The Guardian,4.75,256168,$0.00 ,,,126,10.5,"$630,000.00","$126,000.00","$504,000.00"
,,,,,,,,,,
,,,,,,,,,,Grand Total Profit
,,,,,,,,,,"$5,064,000.00"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aditi's Picks,,,,,,,,,,
name,avg_rating,avg_reviews,,,,,,,,
Connect'Em Halloween,4.5,6673,,,,120,10,"$600,000.00","$120,000.00","$480,000.00"
"Halloween Makeover: Spa, Makeup & Dressup Salon",5,7,,,,132,11,"$660,000.00","$132,000.00","$528,000.00"
Halloween Sandbox Number Coloring- Color By Number,4.4,289,,,,117.6,9.8,"$588,000.00","$117,600.00","$470,400.00"
Haunted Halloween Escape,4.5,11945,,,,120,10,"$600,000.00","$120,000.00","$480,000.00"
,,,,,,,,,,
,,,,,,,,,,"$1,958,400.00"
,,,,,,,,,,
Shanden's Picks,,,,,,,,,,
name,avg_rating,avg_reviews,,,,,,,,
Plants vs. Zombies,5,426463,,,,132,,660000,132000,528000
Zombie Catchers,4.67,851317,,,,124.08,,620400,124080,496320
Swamp Attack,4.43,1418474,,,,118.32,,591600,118320,473280
Zombie Tsunami,4.42,4105814,,,,118.08,,590400,118080,472320
,,,,,,,,,,
,,,,,,,,,,"$1,969,920.00"
